datetime,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-04-02 13:00:00,0.0,1813.2,25.9,68.0,4.3
2021-04-02 14:00:00,0.0,2600.7,26.3,67.0,5.9
2021-04-02 15:00:00,0.0,3117.6,27.3,61.0,5.9
2021-04-02 16:00:00,0.0,2920.4,26.5,60.0,6.8
2021-04-02 17:00:00,0.0,3045.5,28.2,58.0,6.3
2021-04-02 18:00:00,0.0,2782.9,28.5,53.0,6.5
2021-04-02 19:00:00,0.0,1968.4,27.6,56.0,6.6
2021-04-02 20:00:00,0.0,1350.6,27.3,58.0,6.6
2021-04-03 12:00:00,0.0,1356.9,25.2,72.0,3.4
2021-04-03 13:00:00,0.0,1995.8,26.1,67.0,3.9
2021-04-03 14:00:00,0.0,2136.9,26.6,68.0,4.8
2021-04-03 15:00:00,0.0,1106.4,25.3,73.0,5.5
2021-04-03 16:00:00,0.0,678.4,25.3,75.0,4.8
2021-04-03 17:00:00,0.0,832.3,25.6,72.0,3.9
2021-04-03 18:00:00,0.0,488.1,25.3,78.0,4.1
2021-04-03 19:00:00,0.0,485.1,24.9,80.0,2.6
2021-04-04 12:00:00,0.0,1241.3,25.3,87.0,2.3
2021-04-04 13:00:00,0.0,1748.5,26.6,66.0,3.4
2021-04-04 14:00:00,0.0,2373.4,27.8,59.0,4.5
2021-04-04 15:00:00,0.0,3516.9,27.4,62.0,4.5
2021-04-04 16:00:00,0.0,2902.1,27.5,64.0,4.2
2021-04-04 17:00:00,0.0,3121.4,28.5,65.0,5.7
2021-04-04 18:00:00,0.0,2960.3,27.8,65.0,5.7
2021-04-04 19:00:00,0.0,1969.9,27.8,66.0,7.4
2021-04-05 12:00:00,0.0,1185.7,24.7,100.0,3.3
2021-04-05 13:00:00,0.0,1798.2,26.5,63.0,3.3
2021-04-05 14:00:00,0.0,1928.1,27.0,63.0,3.5
2021-04-05 15:00:00,0.0,2411.4,26.5,66.0,4.4
2021-04-05 16:00:00,0.0,2557.4,27.2,65.0,4.0
2021-04-05 17:00:00,0.0,2734.2,27.5,64.0,4.6
2021-04-06 12:00:00,0.0,1053.6,24.4,81.0,2.1
2021-04-06 13:00:00,0.0,1963.5,27.6,61.0,3.4
2021-04-06 14:00:00,0.0,2514.6,26.8,64.0,5.3
2021-04-06 15:00:00,0.0,1614.6,26.2,69.0,4.5
2021-04-06 16:00:00,0.0,1065.4,26.3,73.0,3.9
2021-04-06 17:00:00,0.0,1554.7,27.0,68.0,4.0
2021-04-06 18:00:00,0.0,482.2,26.1,73.0,3.5
2021-04-06 19:00:00,0.0,448.7,25.3,77.0,3.0
2021-04-07 12:00:00,0.0,1214.7,24.8,77.0,1.5
2021-04-07 13:00:00,0.0,1710.6,26.4,69.0,3.2
2021-04-07 14:00:00,0.0,2600.4,26.8,68.0,4.1
2021-04-07 15:00:00,0.0,3053.8,27.2,66.0,4.3
2021-04-07 16:00:00,0.0,3214.4,28.1,64.0,4.5
2021-04-07 17:00:00,0.0,3133.0,28.0,64.0,4.8
2021-04-07 18:00:00,0.0,2691.4,28.0,63.0,5.3
2021-04-07 19:00:00,0.0,1757.4,28.3,61.0,6.9
2021-04-08 12:00:00,0.0,1269.0,24.2,69.0,1.5
2021-04-08 13:00:00,0.0,2024.4,26.4,54.0,3.2
2021-04-08 14:00:00,0.0,2590.9,27.1,57.0,4.5
2021-04-08 15:00:00,0.0,3086.6,28.2,54.0,5.5
2021-04-08 16:00:00,0.0,3279.8,28.2,55.0,6.7
2021-04-08 17:00:00,0.0,3131.7,28.1,53.0,6.1
2021-04-08 18:00:00,0.0,2714.5,28.1,57.0,5.9
2021-04-08 19:00:00,0.0,2028.8,27.8,66.0,7.9
2021-04-09 12:00:00,0.0,1262.4,24.9,74.0,3.4
2021-04-09 13:00:00,0.0,1990.9,27.1,56.0,3.3
2021-04-09 14:00:00,0.0,2542.5,27.3,60.0,4.8
2021-04-09 15:00:00,0.0,3034.1,27.9,60.0,6.4
2021-04-09 16:00:00,0.0,3169.3,27.8,62.0,5.3
2021-04-09 17:00:00,0.0,3048.3,28.1,62.0,5.6
2021-04-09 18:00:00,0.0,2592.9,28.2,66.0,6.0
2021-04-09 19:00:00,0.0,2091.8,27.6,67.0,5.5
2021-04-09 20:00:00,0.0,1249.5,27.3,68.0,5.5
2021-04-10 12:00:00,0.0,1239.4,25.5,75.0,1.9
2021-04-10 13:00:00,0.0,1961.1,27.2,58.0,3.3
2021-04-10 14:00:00,0.0,2590.6,27.5,68.0,5.3
2021-04-10 15:00:00,0.0,3033.0,27.9,62.0,5.3
